,price,listing_title,listing_subtitle,name,sqft,bedrooms,bathrooms,address,price_per_sqft,listing_tags,listings_desc,developer,property_title_type,furnishing,built_year,listed_on,tenure,property_type,floor_lv,psf_det,floor_size_det,num_units,facilities,url
10,"412,000",Shah Alam ! ! Below Market Price Double Storey only 420K! ! ! Limited unit ! ! !,,Shah Alam ! ! Below Market Price Double Storey only 420K! ! ! Limited unit ! ! !,2744,4,4,"shah alam, kota kemuning, i-city, Kota Kemuning, Shah Alam, Selangor",150.15,2-storey Terraced House,"
Description
Great community. Near parks, schools, libraries, and shops
                                    NEW FREEHOLD LANDED
Amy 011-58930443 

Amy 011-58930443 

Amy 011-58930443 

(90% SOLD OUT) Most value-worth SUPERLINK in town

Premium Designs for Luxurious Living

Details
# Freehold
# Gated Guarded
# Fully extension behind (top and btm)
# 4bedrooms 4 bathrooms
# Swimming pool, Badminton
# Gym, Basketball, futsal

ACCESS
-major highway access : PLUS, ELITE, MEX, LEKAS, KESAS and SKLIA (toll free highway)

Special sales package:
Booking Only RM1,000 !!!
Rebate up to 15% (LAST PHASE DISCOUNT)
Cash Back RM30k++ (LIMITED UNITS ONLY)
FREE - SPA Legal Fees
FREE - SPA Stamp Duty Fees
FREE - Loan Legal Fees
FREE - Loan Stamp Duty Fees
FREE - MOT & MOF
FREE - Clubhouse Membership
FREE - 24 Hours Gated Guarded

No hidden charges
Refundable booking fee
No Down payment
Loan installment starts in 2020

-Provide all-inclusive service in settling bank, tax and law loan.
-Provide the best financial consultation.

Please contact
Amy 011-58930443 

Amy 011-58930443 

Amy 011-58930443 


Sungai Besi, Sri Petaling, Puchong, OUG, Bukit Jalil, Puchong, Kinrara, Sunway, Seri Kembangan, Ampang, Cheras, Melawati, Taman Connaught, Bukit Bintang, Sentul, Segambut, Semenyih, Kajang, Kuala Lumpur, Damansara, Petaling Jaya, USJ, Subang Jaya, Shah Alam, Kota Kemuning, Rimbayu, Seremban, Nilai, Labu, Bangi, Senawang, Melaka
                                    Read More
",,,,N/A,1 day ago,Freehold,2-storey Terraced House For Sale,,RM 150.15 psf,2744 sqft,,,https://www.propertyguru.com.my/property-listing/shah-alam-below-market-price-double-storey-only-420k-limited-unit-for-sale-by-amy-lim-32679070#contact-agent
11,"200,000",University Condo 2Room 2Bath *Rm200K* Only [ Income Rm2000 Loan Approval ] Investment Project,,University Condo 2Room 2Bath *Rm200K* Only [ Income Rm2000 Loan Approval ] Investment Project,550,2,2,"Shah Alam, Selangor",363.64,Condominium,"
Description
Short Walk To Outlet & Public Transport
                                    0% Dowmpayment 100% Easy Loan Free 10K Buy Furniture High Return

Layout Available
-Studio
-1 Bedroom Suites
-2 Rooms 2 Bath
-3 Rooms 2 Bath
-4 Rooms 3 Bath
****************************************
-Dual key from RM200K* only!!!
-ROI 7%-18%
-Monthly installment Rm850 only!
-Rental receive atleast Rm1800 !!
-High rebate & packages
-Free All Legal Fees
-10K CASHBACK
-FREE Branded Furniture
-Provide AirBnB Management Team
****************************************
-5 min walk to University (15,000 students)
- 3 min drive to Public Transport (MLR, LRT, ERL)
-25 min drive to KLIA & KLIA2 (20,000 airp
                                    Read More
",,Individual,Unfurnished,N/A,5 days ago,Freehold,Condominium For Sale,,RM 363.64 psf,550 sqft,,"Air-Conditioning, Balcony, Cooker Hob/Hood, Corner Unit, Park / Greenery View, High Floor, Intercom, Penthouse, Renovated, Water Heater, Barbeque Area, Covered car park, Clubhouse, Gymnasium room, Jacuzzi, Playground, 24 hours security, Swimming pool, Tennis courts, Wading pool",https://www.propertyguru.com.my/property-listing/university-condo-2room-2bath-rm200k-only-income-rm2000-loan-approval-investment-project-for-sale-by-kaycy-koh-36119997
12,"1,790,000",Sepah Puteri,,Sepah Puteri,3000,3,4,"Jalan Sepah Puteri 5/18, Kota Damansara, Damansara, Selangor",596.67,2-storey Terraced House,"
Description
Corner lot, renovated 300k,fully extended included 2nd floor.
                                    Sepah Puteri Seksyen 5 KD
Double-Storey corner lot 
Land Area: 42x86
Built up: estimated 3000sqft 

3 Bedrooms
3 Bathrooms
4 Cars can fit
30ft wide garden
Facing north 
Partially furnished
Renovated RM 388k 
 - Extended  living room
 - Extended  at the back kitchen 
 -Extended on the side 
 -2nd floor extendable already have pillar previously planning to do balcony          for 2nd bedroom 
 - Autogate

Security fees : RM70/month



Asking price: RM1.79 mil nego
                                    Read More
",,Strata,Partially Furnished,N/A,6 days ago,Leasehold,2-storey Terraced House For Sale,,RM 596.67 psf,3000 sqft,-,"Air-Conditioning, Cooker Hob/Hood, Corner Unit, Private Garden, Ground Floor, Renovated, Water Heater, Covered car park, 24 hours security",https://www.propertyguru.com.my/property-listing/sepah-puteri-for-sale-by-jonny-yap-36248212#contact-agent
13,"1,250,000",Double Storey D'Kayangan Seksyen 13,,Double Storey D'Kayangan Seksyen 13,3085,6,6,"Jalan Akuatik 13/55H, Shah Alam, Selangor",405.19,2-storey Terraced House,"
Description
Double Storey D'Kayangan. Seksyen 13
                                    DOUBLE STOREY Gated Guarded 
D Kayangan Seksyen 13 Shah Alam

DETAIL
- 5+1 bedroom
- 6 bathroom
- Basic unit
- Build up : 3085 sqft
- Land area : 28 x 80
- Leasehold intermediate

FACILITIES
- guarded & gated 24hours
- surau nearby
- jogging track
- lake garden
- good neighbourhood

AMENITIES
- Aeon Mall shah alam
- LRT 3 in future
- Tesco
- Msu College
- Stadium Malawati Shah Alam

Asking Price : RM1,250,000 
Loan | Lawyer can be arrange

For more info & viewing contact
Amita NAT | REN 10368 0123373632 

ESP Properties Shah Alam
                                    Read More
",,,,N/A,5 days ago,Leasehold,2-storey Terraced House For Sale,,RM 405.19 psf,3085 sqft,,24 hours security,https://www.propertyguru.com.my/property-listing/double-storey-d-kayangan-seksyen-13-for-sale-by-nur-amita-tahir-35810744#contact-agent
14,"820,000",Malkoha 1 @ Setia Alamsari,,Malkoha 1 @ Setia Alamsari,2140,4,4,"Persiaran Alam Sari 3, Bandar Baru Bangi, Bangi, Selangor",383.18,2-storey Terraced House,"
Description
Brand New, Baru Dapat Kunci, Kawasan Low Density, Design Moden
                                    *FOR SALE*

New 2 Storey Superlink Homes

Type : Malkoha 2@Alam Sari,Bangi,Selangor

Asking Price RM820k
.
*Details:*
 Freehold
 Land Area 24 x 85
 Built up 2140sft
 Bedrooms : 4
 Bathrooms : 4
.
*Extra Advantage :*
 Masterbedroom tidak menghadap rumah orang
 Tanah belakang boleh extend (18ft)
 Parking space sangat luas,muat 4 kereta

*Nearby :*
 1.9km German Malaysia Institute
 3.4km Danau Golf Club
 4.0km Bangi Wonderland Themepark
 5.8km Bangi Gateway
 9.1km Hospital Kajang,KPJ Kajang
 1km UKM Komputer Station
 2.7km Sekolah Rendah Sri Al Amin
4.1km UKM

*Accessibility:*
LEKAS Highway
 KL - Seremban Highway
SILK Highway
SKVE

*For Info & Viewing Appointment*
Hazwan Faisal Mohamad 
REN 50748 017 684 2946 

                                    Read More
",S P Setia Bhd,,Unfurnished,2021,8 hours ago,Freehold,2-storey Terraced House For Sale,,RM 383.18 psf,2140 sqft,47,"Car Park, Children's Playground, Existing Bus Stop, Perimeter Fencing, Jogging track, Mini golf range, Playground, 24 hours security",https://www.propertyguru.com.my/property-listing/malkoha-1-setia-alamsari-for-sale-by-hazwan-faisal-mohamad-35546523
15,"1,395,000",Peridot Hilltop Residence,,Peridot Hilltop Residence,6445,5,6,"Jln KE 3/3, Kota Emerald, Rawang, Selangor",216.45,Bungalow House,"
Description
Renovated Bungalow Peridot @ Call me for viewing session
                                    2.5sty Bungalow House, Peridot Precinct Kota Emerald, Rawang

Property Details :
 * End Lot unit
 * Freehold
 * 5room 6bathroom
 * Land area 6,445 sqft
 * Built up 3,097 sqft
 * Gated guarded with 24 hour security
 * Renovated with approval
 * Uphill type
 * Well kept condition

Asking Price : 1.395m nego

REQUIREMENT :
* Goverment Loan Acceptable
* E.P.F Withdraw can be arranged
* 10% Down Payment
- 3% For Booking
- 7% When Signing S&P Agreement

For viewing arrangement, contact Tom Yip 0123730201 

Welcome property owner to list sale/rent
                                    Read More
",,Individual,Partially Furnished,N/A,4 days ago,Freehold,Bungalow House For Sale,,RM 216.45 psf,,232,"Air-Conditioning, Balcony, Cooker Hob/Hood, Corner Unit, Park / Greenery View, Renovated, Water Heater, 24 hours security",https://www.propertyguru.com.my/property-listing/peridot-hilltop-residence-for-sale-by-tom-yip-36213813#contact-agent
16,"258,000",Pangsapuri D' Cassia,,Pangsapuri D' Cassia,850,3,2,"Pangsapuri D’ Cassia, Setia Ecohill 1, Semenyih, Selangor",303.53,Apartment,"
Description
Fully Furnished Pangsapuri D Cassia, Setia Ecohill, Semenyih
                                    Fully Furnished & Renovated Pangsapuri D’ Cassia,Setia Ecohill 1, Semenyih  =========================== [Full 100% Loan|LPPSA | EPF ]
[Cash Back]   PropertyDetails :- * 3 Bedrooms,2 bathrooms * 850 sqft * Freehold  * Non Bumi Lot  Facilities :- * Swimming pool * Children pool * Playground * Function hall * Gym room * Cafeteria * Surau 
===========================
Asking Price : RM258K(nego)
===========================

For more info & viewing session please contact
Lihyi Liew  REN 52607
H/P : 0179282848 

http://Www.watsap.my/60179282848
                                    Read More
",,Strata,Fully Furnished,N/A,6 days ago,Freehold,Apartment For Sale,,RM 303.53 psf,850 sqft,,"Air-Conditioning, Balcony, Bed, Cooker Hob/Hood, Dining Room Furniture, Fridge, Living Room Furniture, Renovated, Washing Machine, Water Heater, Covered car park, Gymnasium room, Playground, 24 hours security, Swimming pool, Tennis courts",https://www.propertyguru.com.my/property-listing/pangsapuri-d-cassia-for-sale-by-liew-lih-yi-36221551#contact-agent
17,"658,530",Brand New 3 Storey Terrace @ Sungai Buloh,,Brand New 3 Storey Terrace @ Sungai Buloh,2854,5,4,"Jalan C1, Sungai Buloh, Selangor",230.74,3-storey Terraced House,"
Description
Terrace house for Sale
                                    Brand New 3 Storey Terrace House
Completion : 2022
Low density : 30 units
Leasehold / Residential
Individual Title

Type A
Land area : 20 x 85
Built-up : 2,720 (Intermediate) , 2,686 (End lot) , 2,872 (Corner)

Type B
Land area: 22 X 80
Built-up : 2,854 (Intermediate) , 3,046 (Corner)

Features
Partial Furnishing
2 living rooms
Energy saving natural ventilation system
Balcony in master bedroom
Wet and dry kitchen
5 bedrooms & 4 bathrooms
                                    Read More
",,Individual,Partially Furnished,N/A,6 days ago,Leasehold,3-storey Terraced House For Sale,,RM 230.74 psf,2854 sqft,,Air-Conditioning,https://www.propertyguru.com.my/property-listing/brand-new-3-storey-terrace-sungai-buloh-for-sale-by-jia-jin-36134424
18,"420,000",Q3-2022 Parcel 2 New Launching - 20x70 Double Storey Close Semenyih,,Q3-2022 Parcel 2 New Launching - 20x70 Double Storey Close Semenyih,1562,4,3,"Semenyih, Selangor",268.89,2-storey Terraced House,"
Description
Bo & Bumi & non bumi - Double storey 20x70 near semenyih
                                    April 2021 New Project 20x70 Double Storey nearby Semenyih
Project located at MH nearby Semenyih 
10mins from Eco Majestic Semenyih / Lotus Semenyih

----Exclusive Projects----
PHASE 1 FULLY SOLD
PHASE 2 FULLY SOLD

PHASE 3 ""Parcel 2"" open now 20x70
Freehold & Individual title (Renovate OK)

Non bumi nett price: RM465k-499k
(Monthly installment RM1800+)

***Bumi price may register to us***
From RM420,440++

4bedroom 3bathroom
Up to 1758sqft
4 TYPE Designs (20x70)

10mins to MCD Eco Majestic
10mins to Tesco Semenyih

Freehold
Free snp & loan legal fee
Free MOT
Free loan stamp duty

Show house ready !!!
Show house ready !!!
Show house ready !!!

Jayden Ong
REN 56436
                                    Read More
",,,Unfurnished,N/A,4 days ago,Freehold,2-storey Terraced House For Sale,,RM 268.89 psf,1562 sqft,,,https://www.propertyguru.com.my/property-listing/q3-2022-parcel-2-new-launching-20x70-double-storey-close-semenyih-for-sale-by-jayden-ong-34914881#contact-agent
19,"389,200",Shah Alam 2 STY 389k Early Bird Discount 40% ! Goverment project !,,Shah Alam 2 STY 389k Early Bird Discount 40% ! Goverment project !,2490,4,3,"Kota Kemuning, Shah Alam, Selangor",156.31,2-storey Terraced House,"
Description
30 Mins to KLCC, Easy exit highway
                                    ACCESS 
Freehold 5 minutes to major highway access : PLUS, ELITE, MEX, LEKAS, KESAS and SKLIA (toll free highway)

Show unit and infrastructures available, see it to believe it 
Call Me Directly!

[Click the link to get more information]

Contact Me for more details 
️ 0179121416 
 Stephy 
️ 0179121416 
 Stephy
️ 0179121416 
 Stephy 

https://wa.link/by04ah

https://wa.link/by04ah

https://wa.link/by04ah


BANGI, SEPANG, NILAI, SEREMBAN , SENAWANG, SHAH ALAM , SEMENYIH ,PUTRAJAYA ,SENDAYAN ,BANTIN ,CYBERJAYA ,SETIA ALAM DENGKIL ,KLIA , CHERAS, SALAK TINGGI ,SEDANG , PUCHONG , SENAWANG """" """"""""""""Wining Award Best Towlship Development, 
KL South Can Use All Exit Highway Interchange !!!
                                    Read More
",,,,N/A,6 days ago,,2-storey Terraced House For Sale,,RM 156.31 psf,2490 sqft,,,https://www.propertyguru.com.my/property-listing/shah-alam-2-sty-389k-early-bird-discount-40-goverment-project-for-sale-by-stephy-tan-35204416#contact-agent
